ts,req_count,error_rate,latency_avg,latency_p95,unique_ips,error_concentration,req_count_chg,latency_avg_chg,error_rate_chg,tod_sin,tod_cos,anomaly_score,is_anomaly
2026-07-01 00:00:00,5,0.0,124.4,158.8,5,0.0,1.0,1.0,1.0,0.0,1.0,0.3869060362514893,False
2026-07-01 00:01:00,10,0.0,125.4,185.64999999999992,10,0.0,2.0,1.0080385852090032,0.0,0.004363309284746571,0.9999904807207345,0.4437828259941779,False
2026-07-01 00:02:00,5,0.0,108.8,137.2,5,0.0,0.6666666666666666,0.8710968775020015,0.0,0.008726535498373935,0.9999619230641713,0.41533583754203235,False
2026-07-01 00:03:00,10,0.0,116.6,200.04999999999995,10,0.0,1.5,0.9754601226993863,0.0,0.01308959557134444,0.999914327574007,0.4180895582178648,False
2026-07-01 00:04:00,5,0.4,122.6,171.4,5,0.5,0.6666666666666666,1.031986531986532,50.0,0.01745240643728351,0.9998476951563913,0.6256969638076176,True
2026-07-01 00:05:00,5,0.0,101.2,131.2,5,0.0,0.7142857142857143,0.8464369354299098,0.0,0.02181488503456112,0.9997620270799091,0.43969940520408923,False
2026-07-01 00:06:00,11,0.0,145.54545454545453,207.5,11,0.0,1.5714285714285714,1.266493687308167,0.0,0.02617694830787315,0.9996573249755573,0.4818579864328853,False
2026-07-01 00:07:00,5,0.0,110.4,148.8,5,0.0,0.6944444444444444,0.928128152609214,0.0,0.03053851320982266,0.9995335908367129,0.3951022642292263,False
2026-07-01 00:08:00,5,0.0,97.2,123.2,5,0.0,0.6944444444444444,0.8149638708497212,0.0,0.03489949670250097,0.9993908270190958,0.46307159042952556,False
2026-07-01 00:09:00,11,0.09090909090909091,110.36363636363636,164.5,11,1.0,1.7741935483870968,0.956447749905458,1.1363636363636365,0.03925981575906861,0.9992290362407229,0.4998555320756463,False
2026-07-01 00:10:00,18,0.05555555555555555,125.72222222222223,199.6,18,1.0,2.4324324324324325,1.1131591844911655,3.0555555555555554,0.043619387365336,0.9990482215818578,0.5167618611533041,False
2026-07-01 00:11:00,14,0.0,111.35714285714286,176.54999999999998,13,0.0,1.4,0.9449357185836319,0.0,0.04797812852134394,0.9988483864849507,0.39719945341446966,False
2026-07-01 00:12:00,6,0.0,103.83333333333333,136.25,6,0.0,0.5660377358490566,0.935362963440556,0.0,0.05233595624294383,0.9986295347545738,0.43056774058289937,False
2026-07-01 00:13:00,11,0.0,122.36363636363636,178.0,11,0.0,1.0185185185185184,1.115486928105435,0.0,0.05669278756337751,0.9983916705573488,0.39006908358507875,False
2026-07-01 00:14:00,7,0.0,127.0,173.8,7,0.0,0.5833333333333334,1.106966097111557,0.0,0.06104853953485687,0.9981347984218669,0.41026880685855305,False
2026-07-01 00:15:00,5,0.0,114.8,184.0,5,0.0,0.44642857142857145,0.9724259066179535,0.0,0.06540312923014306,0.9978589232386035,0.4179046339231321,False
2026-07-01 00:16:00,9,0.0,123.22222222222223,154.4,9,0.0,1.0465116279069768,1.0634447874978454,0.0,0.0697564737441253,0.9975640502598242,0.3928638124641117,False
2026-07-01 00:17:00,5,0.0,114.0,157.4,5,0.0,0.6578947368421053,0.9641094331692599,0.0,0.07410849019539924,0.9972501850994857,0.3900956033872921,False
2026-07-01 00:18:00,10,0.0,109.3,153.09999999999997,10,0.0,1.3513513513513513,0.9087343711158737,0.0,0.07845909572784494,0.996917333733128,0.41361019367192425,False
2026-07-01 00:19:00,11,0.0,124.36363636363636,171.0,11,0.0,1.5277777777777777,1.056934717627082,0.0,0.08280820751220433,0.9965655024977614,0.4043577967855103,False
